"wl.1","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X7.1","X8.1","X9.1","X10.1","X11.1","X12.1","X13.1","X14.1","X15.1","X16.1","X17.1","X18.1","X19.1","X20.1","X21.1","X22.1"
354,3.48301688677332,3.9254723064969,7.63475206379961,2.43323642381383,3.05068816329278,2.34036214617721,5.14638350265759,2.57281512007614,1.60821306586583,3.19035048192449,2.21148845689554,3.69605973802579,3.50500637301794,3.68184435733188,3.23687355724142,5.12363779830113,5.32281031442703,5.6932934103156,3.07708675545207,4.87363910909678,3.8649598902175,2.20155009830532
355,3.48215704511889,3.918918317661,7.59539808221729,2.42990863375521,3.05632366343745,2.35429109747286,5.11384361116581,2.5589260181771,1.61393235819881,3.18946099680998,2.23038160318737,3.68223253937358,3.49815152331923,3.68453574912079,3.22931124093675,5.10663673544719,5.32891044932001,5.68848336202636,3.07599571552558,4.84478434382529,3.86350225003103,2.19817857794777
356,3.47962522862917,3.91182162975322,7.55289882807222,2.42656639806378,3.0610929676445,2.36730553308611,5.08004459019899,2.54414767704465,1.6197945184885,3.18769459740587,2.25000727441797,3.66438125116601,3.48981503402798,3.68629838603779,3.2197391006764,5.08681685534849,5.33309905923115,5.68201336283367,3.07445725088991,4.81360598932612,3.86079620994942,2.19432895513791
357,3.47585060397248,3.90418087947199,7.50848629154314,2.42312590660808,3.0651096543277,2.37941335243194,5.04567039841553,2.5289542211501,1.62551607777908,3.18520622626818,2.26991141903086,3.64385056630589,3.48059585794734,3.6873714542464,3.20885427518192,5.06528167429446,5.33576753485337,5.67430247117831,3.07243354129897,4.78120474143988,3.85703676010871,2.19015564678639
358,3.47126233781716,3.89599470351575,7.46339246280878,2.41950334925661,3.06848730190081,2.39062245492533,5.01140499447384,2.51381977496474,1.63081356711473,3.18215082595294,2.28963998546954,3.62198517769603,3.47109294788049,3.6879941399101,3.19735390317487,5.04313470857449,5.33730726687963,5.66576974550109,3.06988676650671,4.74868129600718,3.85241889064494,2.18581306980387
359,3.46628959683155,3.88726173858294,7.41884933204787,2.4156149158779,3.07133948877759,2.40094073998125,4.9779323370323,2.49921846295985,1.63540351753961,3.17868333901617,2.30873892217751,3.60012977823927,3.4619052566306,3.68840562919241,3.18593512337681,5.02147947447797,5.33810964600285,5.65683424424277,3.06677910626704,4.71713634886862,3.84713759169416,2.181455641101
360,3.46136154768398,3.877980621372,7.37608888943915,2.41137679634047,3.07377979337182,2.4103761070147,4.94593638474932,2.48562440960673,1.63900246009789,3.1749587080139,2.32675417759827,3.57962906083842,3.45363173700082,3.68884510825683,3.17529507450929,5.00141948829431,5.33856606291598,5.64791502584414,3.0630727403339,4.68767059586481,3.8413878533924,2.17723777758844
361,3.45690735704278,3.86814998858138,7.33634312516136,2.40670518051286,3.07592179409725,2.41893645544065,4.91610109628329,2.47351173937668,1.64132692583375,3.17113187550215,2.34323170017532,3.5618277183963,3.44687134179433,3.68955176326687,3.16613089529387,4.98405826631291,5.33906790831197,5.63943114874599,3.05872984846121,4.66138473283634,3.8353646658757,2.17331389617684
362,3.45335619157628,3.8577684769095,7.30084402939322,2.40151625826356,3.07787906936766,2.42662968467407,4.8891104302926,2.46335457674098,1.64209344579135,3.16735778403695,2.35771743835216,3.54807044381572,3.44222302381429,3.69076478038603,3.15913972445211,4.97049932482317,5.34000657288375,5.6318016713891,3.0537126104029,4.63937945562383,3.82926301928011,2.16983841377685
363,3.45113721795281,3.8468347230548,7.27082359231347,2.39572621946112,3.07976519759681,2.43346369412996,4.86564834543566,2.45562704617093,1.64101855101486,3.16379137617432,2.36975734057229,3.53970192999951,3.44028573586388,3.6927233457778,3.15501870070557,4.96184618011448,5.34177344732426,5.62544565221426,3.04798320591289,4.62275546006787,3.82327790374166,2.16696574729914
