"","Name","code","individual","day","experiment","treatment","planed_treatment","B1","B2","B3","S1U","S1V","S1B","S1G","S1Y","S1R","S2","S3","S4","S5","S6","S7","S8","S9","S10","H1","H2","H3","H4","H5"
"X15.7","X15.7","exp15.7",15,7,"experiment","dark","dark",1637.16658545912,4.08270968942424,8.06881213502092,0.09055644947149,0.107075373520115,0.167808979225514,0.312598356367628,0.290829584359743,0.436426792474054,13.8676208632396,0.243705817381614,0.0121567463413002,623.812080667677,7.486966682611,-0.401166942527722,1.83382293921242,0.70399734333325,0.0222933203068629,700,356,528,0.620677208630463,519
"X16.7","X16.7","exp16.7",16,7,"experiment","natural","natural",1388.90558209336,3.46360494287622,5.91457768714165,0.121788750725189,0.141865035829174,0.198438871920528,0.299058241786808,0.262699205685693,0.388020465535532,4.22328876568488,0.262887653517011,0.00816963898976986,407.87456442315,4.51411041736866,-0.309205840100449,1.30329829522073,0.598839646104639,0.0106474765679358,688,356,521,0.668056194040611,507
"X17.7","X17.7","exp17.7",17,7,"experiment","light","light",3262.24388550016,8.13527153491313,12.3870146562684,0.147779975517904,0.171506519465544,0.215085791827536,0.30356679098207,0.268079418302874,0.341249960939475,3.78551222081912,0.351208642065339,0.0852754872269017,757.676273996937,9.11479839233885,-0.274897714916958,1.12040493709669,0.47554136534091,0.0955430769023466,596,618,511,0.759925372718759,568
"X18.7","X18.7","exp18.7",18,7,"experiment","dark","dark",1395.10735536145,3.47907071162456,5.6196213099268,0.175647748750229,0.202770444020033,0.222555340710937,0.265529617274408,0.234032600482778,0.343664854812324,2.69950980839179,0.193434257904631,0.00946168513607004,260.662651114814,3.53790214281822,0.0498772722277673,1.01691009929666,0.518058090651513,0.0096216831712347,700,357,562,0.539963091342986,568
"X19.7","X19.7","exp19.7",19,7,"experiment","dark","dark",2200.25288194979,5.48691491758051,8.74326297695364,0.158489323016466,0.182169242548871,0.209890763443959,0.283973508573636,0.248639748459324,0.355010883622884,3.57264947373036,0.196254527921142,0.0317815362452798,499.38241569563,6.29598595152959,-0.209874728837246,1.14745463454459,0.533006620261141,0.0364678710575931,700,357,522,0.615292592151137,300
"X20.7","X20.7","exp20.7",20,7,"experiment","natural","natural",1252.26729518244,3.122861085243,5.39190314886712,0.149119104854383,0.170144902344137,0.194906756995418,0.285687448361667,0.258469711409887,0.377482265428061,3.42270721212883,0.210576536370053,0.01791341176357,328.497232309057,3.81657028669294,-0.125961039764053,1.2221389880991,0.602515079196322,0.021892678926132,700,357,548,0.560738935818947,568
"X21.7","X21.7","exp21.7",21,7,"experiment","natural","natural",2586.09833321576,6.44912302547572,12.2148963804792,0.12530468020242,0.143411517545019,0.173124020204909,0.290353665115537,0.270351836222125,0.418392161513602,5.63285139157658,0.234978500482566,0.0302411324743703,852.083918139863,10.0463860592686,-0.224698687674812,1.55779103912001,0.681313554899441,0.0471093651814153,700,356,547,0.526795322694068,300
"X22.7","X22.7","exp22.7",22,7,"experiment","dark","dark",1702.84113065565,4.24648661011383,7.82844506362126,0.12048363702027,0.139241284371062,0.182336729026804,0.300135730185075,0.27513485497586,0.40435442855675,8.54274369207135,0.225268756521232,0.0279711235726001,542.86817773163,6.91205972586532,-0.318080273423411,1.62771259172298,0.648581856898942,0.0455289500437607,700,356,527,0.603179438250233,302
"X1.8","X1.8","exp1.8",1,8,"experiment","light","light",3235.92960976903,8.06964989967339,12.8357103434407,0.151924502542494,0.175122114785441,0.207157443783975,0.287362708449514,0.258716892138334,0.361035164512852,4.14822620396514,0.197647743414505,0.0458772233017193,774.633147094279,9.74144553908372,-0.225358884822771,1.20717077694758,0.538848407980257,0.0553816432973343,700,356,523,0.621384029645657,300
"X2.8","X2.8","exp2.8",2,8,"experiment","dark","dark",1429.45018701618,3.56471368333212,4.74971735856839,0.185250815068104,0.21333540578728,0.238852476686649,0.282716248328917,0.239746478045445,0.300862979022555,2.41087356627994,0.316733515978417,0.0197084122284101,211.549036932156,2.77959440189366,-0.255604738527688,0.779752498746389,0.322401371852291,0.0153676836814267,598,356,490,0.795707106538584,300
"X3.8","X3.8","exp3.8",3,8,"experiment","light","light",3527.63923465711,8.79710532333443,12.4820030388074,0.174052832835477,0.20016896289914,0.219715849005042,0.284218675677186,0.250594013681502,0.329568646023132,3.40536900043219,0.177725968790258,0.0661415675433012,666.799300120022,8.81661375581832,-0.227381735880037,1.00221759678518,0.445558249390012,0.0662882428708518,700,619,508,0.653442928550806,300
"X4.8","X4.8","exp4.8",4,8,"experiment","light","light",2115.63115443103,5.27588816566343,8.75194535426406,0.13849186157632,0.159536281889401,0.201879693749762,0.294821792506548,0.259850941836154,0.372205133384301,5.20687970268131,0.205358317453285,0.0242657009713203,563.505591155253,7.0711027279677,-0.309732441615558,1.34026774373041,0.5734543565381,0.0325225362908683,700,356,513,0.651480203223057,300
