"wl","X1","X2"
404,0.0922156964058474,0.101337177552768
405,0.0912622916659754,0.100800424559291
406,0.0905213364750457,0.100448309941955
407,0.0902877028946,0.100543817354707
408,0.0908562629861798,0.101349930451493
409,0.0925218888113268,0.103129632886258
410,0.0955794524315827,0.106145908312948
411,0.100323825908489,0.11066174038551
412,0.107049881303587,0.116940112757889
413,0.11605249067842,0.12524400908403
414,0.128206501381195,0.136314755085981
415,0.143737147087682,0.150323075576627
416,0.161964879350762,0.166676052846172
417,0.182210149723317,0.184780769184821
418,0.203793409758228,0.204044306882781
419,0.226035111008376,0.223873748230255
420,0.248255705026642,0.243676175517449
421,0.269775643365908,0.262858671034567
422,0.289915377579056,0.280828317071815
423,0.307995359218966,0.296992195919397
424,0.323336039838519,0.310757389867518
425,0.335257870990598,0.321530981206384
426,0.345930473057245,0.331250534833666
427,0.357788977034227,0.342076313649519
428,0.370552100395005,0.35374944694788
429,0.383938560613044,0.366011064022682
430,0.397667075161807,0.37860229416786
431,0.411456361514755,0.391264266677349
432,0.425025137145354,0.403738110845082
433,0.438092119527064,0.415764955964996
434,0.45037602613335,0.427085931331023
435,0.461595574437675,0.437442166237099
436,0.471469481913502,0.446574789977158
437,0.479716466034293,0.454224931845135
438,0.486055244273512,0.460133721134964
439,0.489913802799016,0.463819747579002
440,0.491182230274819,0.465214974027424
441,0.490272397918618,0.464680589450896
442,0.487596176948114,0.462577782820084
443,0.483565438581005,0.459267743105653
444,0.478592054034989,0.455111659278269
445,0.473087894527765,0.450470720308596
446,0.467464831277033,0.445706115167301
447,0.46213473550049,0.441179032825048
448,0.457509478415835,0.437250662252503
449,0.454000931240768,0.434282192420332
450,0.452020965192986,0.432634812299199
451,0.449720722122852,0.430646579377804
452,0.445250740128507,0.426664964982693
453,0.439021984799323,0.421065278841308
454,0.43144542172467,0.414222830681088
455,0.422932016493918,0.406512930229476
456,0.413892734696438,0.398310887213911
457,0.4047385419216,0.389992011361835
458,0.395880403758774,0.381931612400687
459,0.387729285797331,0.374505000057909
460,0.380696153626642,0.368087484060941
461,0.375191972836076,0.363054374137225
462,0.371627709015004,0.3597809800142
463,0.370414327752797,0.358642611419307
464,0.372276107923484,0.360270778519124
465,0.377270849375318,0.364696397703515
466,0.384809799158998,0.371393888034848
467,0.394304204325226,0.379837668575492
468,0.405165311924703,0.389502158387816
469,0.416804369008129,0.399861776534189
470,0.428632622626205,0.410390942076981
471,0.440061319829633,0.42056407407856
472,0.450501707669113,0.429855591601295
473,0.459365033195345,0.437739913707556
474,0.466062543459032,0.44369145945971
475,0.470005485510873,0.447184647920128
476,0.472048551173927,0.448974808802256
477,0.47348144551418,0.450207452234833
478,0.474367935446731,0.45094226790317
479,0.474771787886676,0.451238945492575
480,0.474756769749111,0.451157174688359
481,0.474386647949134,0.450756645175831
482,0.473725189401841,0.450097046640301
483,0.472836161022329,0.449238068767079
484,0.471783329725695,0.448239401241474
485,0.470630462427035,0.447160733748797
486,0.469441326041448,0.446061755974356
487,0.468279687484028,0.445002157603462
488,0.467209313669874,0.444041628321424
489,0.465921219299257,0.442895235376139
490,0.464114618740538,0.441284522597771
491,0.461865578410948,0.439278894545027
492,0.459250164727717,0.436947755776617
493,0.456344444108073,0.434360510851247
494,0.453224482969249,0.431586564327626
495,0.449966347728473,0.428695320764462
496,0.446646104802977,0.425756184720465
497,0.443339820609988,0.42283856075434
498,0.440123561566739,0.420011853424798
499,0.437073394090459,0.417345467290546
500,0.434265384598378,0.414908806910292
501,0.431279225214353,0.412315475342821
502,0.427714900222499,0.409198288759136
503,0.423678914280431,0.405655471386277
504,0.419277772045762,0.401785247451281
505,0.414617978176108,0.397685841181186
506,0.409806037329084,0.393455476803032
507,0.404948454162304,0.389192378543856
508,0.400151733333382,0.384994770630697
509,0.395522379499935,0.380960877290593
510,0.391166897319575,0.377188922750583
511,0.387191791449919,0.373777131237704
512,0.38370356654858,0.370823726978996
513,0.380808727273173,0.368426934201496
514,0.378271932265211,0.366380219940471
515,0.375796931152289,0.364418062482111
516,0.373398865071151,0.362550202929837
517,0.371092875158538,0.36078638238707
518,0.368894102551194,0.359136341957232
519,0.366817688385862,0.357609822743745
520,0.364878773799283,0.356216565850031
521,0.3630924999282,0.35496631237951
522,0.361474007909356,0.353868803435605
523,0.360038438879495,0.352933780121737
524,0.358800933975357,0.352170983541327
525,0.357776634333686,0.351590154797798
526,0.357264238503792,0.351497360421222
527,0.357463924456397,0.352104630387689
528,0.358243052460367,0.353280650969647
529,0.359468982784566,0.354894108439544
530,0.36100907569786,0.356813689069826
531,0.362730691469112,0.358908079132943
532,0.364501190367189,0.361045964901341
533,0.366187932660954,0.363096032647469
534,0.367658278619272,0.364926968643773
535,0.368779588511009,0.366407459162702
536,0.369419222605029,0.367406190476702
537,0.369444541170196,0.367791848858223
538,0.368722904475376,0.367433120579711
539,0.367424651616329,0.366517186773191
540,0.36584354973261,0.365347868561282
541,0.364032101158775,0.363968812202323
542,0.362042808229381,0.362423663954652
543,0.359928173278984,0.360756070076609
544,0.35774069864214,0.359009676826532
545,0.355532886653405,0.35722813046276
546,0.353357239647337,0.355455077243631
547,0.351266259958492,0.353734163427486
548,0.349312449921425,0.352109035272662
549,0.347548311870694,0.350623339037498
550,0.346026348140855,0.349320720980333
551,0.344435323233342,0.347898760405763
552,0.342473775305726,0.346073195826674
553,0.340208867176766,0.343914912313837
554,0.337707761665222,0.341494794938024
555,0.335037621589856,0.338883728770005
556,0.332265609769426,0.336152598880554
557,0.329458889022694,0.333372290340441
558,0.326684622168419,0.330613688220438
559,0.324009972025362,0.327947677591317
560,0.321502101412283,0.32544514352385
561,0.319228173147942,0.323176971088807
562,0.3172553500511,0.321214045356961
563,0.315650794940516,0.319627251399084
564,0.314348043300102,0.318316896244281
565,0.313222403691658,0.317129343691377
566,0.312253698550775,0.316054563965723
567,0.311421750313046,0.315082527292666
568,0.310706381414062,0.314203203897557
569,0.310087414289415,0.313406564005745
570,0.309544671374697,0.312682577842578
571,0.3090579751055,0.312021215633407
572,0.308607147917415,0.31141244760358
573,0.308172012246034,0.310846243978447
574,0.30773239052695,0.310312574983357
575,0.307268105195754,0.309801410843659
576,0.306984438860315,0.309498123343189
577,0.307059547311277,0.309554295713896
578,0.307432562758396,0.309909215353298
579,0.308042617411428,0.310502169658916
580,0.308828843480126,0.311272446028268
581,0.309730373174247,0.312159331858873
582,0.310686338703545,0.313102114548252
583,0.311635872277777,0.314040081493923
584,0.312518106106697,0.314912520093406
585,0.313272172400059,0.31565871774422
586,0.313837203367621,0.316217961843885
587,0.314152331219137,0.316529539789919
588,0.314156688164361,0.316532738979842
589,0.313777699884145,0.316176778926877
590,0.313030354691501,0.315493061787212
591,0.311985128744426,0.314544148922813
592,0.310712498200919,0.313392601695647
593,0.309282939218976,0.312100981467678
594,0.307766927956596,0.310731849600876
595,0.306234940571777,0.309347767457204
596,0.304757453222516,0.30801129639863
597,0.303404942066811,0.306784997787121
598,0.302247883262659,0.305731432984642
599,0.301356752968059,0.304913163353159
600,0.300802027341009,0.30439275025464
601,0.300609558075696,0.304182665379404
602,0.30072461362908,0.304226507466262
603,0.301096795303313,0.304483528449916
604,0.301675704400544,0.30491298026507
605,0.302410942222927,0.305474114846427
606,0.303252110072612,0.30612618412869
607,0.304148809251751,0.306828440046561
608,0.305050641062495,0.307540134534744
609,0.305907206806995,0.308220519527942
610,0.306668107787404,0.308828846960858
611,0.307282945305872,0.309324368768194
612,0.307701320664551,0.309666336884654
613,0.307872835165593,0.30981400324494
614,0.307933290090291,0.309883617579147
615,0.308039412319781,0.310006186178137
616,0.30817219155597,0.310163095817773
617,0.308312617500768,0.310335733273915
618,0.308441679856085,0.310505485322423
619,0.308540368323829,0.310653738739159
620,0.308589672605911,0.310761880299982
621,0.308570582404238,0.310811296780753
622,0.308464087420721,0.310783374957334
623,0.308251177357268,0.310659501605584
624,0.307912841915788,0.310421063501365
625,0.307430070798192,0.310049447420537
626,0.306802578937584,0.309558987122624
627,0.306051178160468,0.308981268899045
628,0.305188503508854,0.308323558323502
629,0.304227190024748,0.307593120969698
