wl;1;2;3;4;5;6
256,375;0,19;-0,2;-0,16;0,14;-0,18;-0,05
256,85;0,21;-0,11;-0,1;0,27;-0,14;0,05
257,325;0,32;0,04;0,08;0,44;-0,05;0,17
257,8;0,35;0,11;0,08;0,46;-0,05;0,23
258,275;0,36;0,05;0,05;0,43;-0,13;0,21
258,75;0,35;0;0,02;0,4;-0,19;0,1
259,225;0,42;0,11;0,01;0,43;-0,23;0,14
259,699;0,46;0,19;0,05;0,36;-0,14;0,23
260,174;0,54;0,19;0,08;0,36;-0,09;0,24
260,649;0,59;0,19;0,06;0,39;-0,14;0,22
261,124;0,64;0,17;0,11;0,53;-0,18;0,22
261,599;0,55;0,16;0,15;0,52;-0,25;0,16
262,073;0,51;0,12;0,16;0,45;-0,29;0,1
262,548;0,6;0,18;0,23;0,49;-0,25;0,16
263,023;0,63;0,3;0,32;0,6;-0,2;0,2
263,497;0,59;0,35;0,36;0,58;-0,2;0,18
263,972;0,64;0,36;0,41;0,55;-0,17;0,18
264,447;0,67;0,41;0,43;0,51;-0,06;0,24
264,921;0,65;0,39;0,42;0,54;-0,11;0,21
265,396;0,65;0,38;0,41;0,53;-0,21;0,13
265,87;0,71;0,46;0,41;0,53;-0,14;0,21
266,345;0,69;0,54;0,45;0,53;-0,06;0,36
266,82;0,74;0,53;0,52;0,61;-0,03;0,4
267,294;0,73;0,54;0,5;0,56;-0,09;0,44
267,768;0,62;0,56;0,44;0,51;-0,11;0,48
268,243;0,61;0,51;0,38;0,52;-0,1;0,53
268,717;0,64;0,5;0,3;0,52;-0,12;0,52
269,192;0,67;0,54;0,32;0,55;-0,06;0,49
269,666;0,56;0,47;0,28;0,57;-0,12;0,42
270,14;0,48;0,39;0,18;0,49;-0,2;0,36
270,615;0,43;0,36;0,18;0,47;-0,14;0,37
271,089;0,34;0,34;0,19;0,51;-0,14;0,36
271,563;0,26;0,24;0,14;0,46;-0,3;0,28
272,037;0,28;0,21;0,04;0,36;-0,32;0,24
272,512;0,35;0,28;0;0,31;-0,24;0,26
272,986;0,38;0,25;-0,02;0,26;-0,22;0,18
273,46;0,36;0,16;-0,05;0,24;-0,24;0,06
273,934;0,45;0,14;0,02;0,28;-0,19;0,14
274,408;0,39;0,08;0,02;0,26;-0,24;0,19
274,882;0,41;0,04;0,05;0,25;-0,24;0,08
275,356;0,52;0,15;0,23;0,36;-0,11;0,15
275,83;0,52;0,17;0,32;0,41;-0,03;0,26
276,304;0,5;0,13;0,37;0,42;0;0,26
276,778;0,58;0,23;0,45;0,45;0,14;0,27
277,252;0,53;0,21;0,45;0,42;0,16;0,33
277,726;0,53;0,2;0,56;0,53;0,18;0,37
278,2;0,59;0,24;0,63;0,56;0,16;0,39
278,674;0,56;0,3;0,67;0,48;0,18;0,42
279,148;0,41;0,27;0,54;0,37;0,15;0,33
279,622;0,43;0,27;0,46;0,37;0,13;0,28
280,096;0,54;0,31;0,51;0,38;0,16;0,37
280,57;0,57;0,28;0,39;0,34;0,15;0,42
281,043;0,58;0,28;0,31;0,36;0,1;0,37
281,517;0,61;0,23;0,25;0,37;0,08;0,31
281,991;0,64;0,17;0,24;0,39;0,12;0,34
282,464;0,68;0,18;0,33;0,51;0,21;0,36
282,938;0,64;0,17;0,32;0,55;0,27;0,3
283,412;0,62;0,17;0,24;0,61;0,33;0,35
283,885;0,63;0,1;0,18;0,61;0,34;0,39
284,359;0,67;0,02;0,3;0,64;0,39;0,43
284,833;0,67;-0,03;0,39;0,61;0,36;0,45
285,306;0,56;-0,05;0,36;0,53;0,31;0,42
285,78;0,49;-0,02;0,4;0,53;0,33;0,4
286,253;0,47;-0,02;0,38;0,48;0,3;0,38
286,727;0,48;-0,01;0,33;0,42;0,29;0,38
287,2;0,41;-0,01;0,24;0,36;0,19;0,31
287,674;0,34;-0,05;0,13;0,27;0,05;0,16
288,147;0,39;-0,02;0,16;0,24;0,06;0,13
288,62;0,4;0;0,26;0,21;0,09;0,1
289,094;0,41;0,05;0,28;0,2;0,04;0,07
289,567;0,48;0,08;0,22;0,23;-0,04;0,02
290,04;0,53;0,18;0,18;0,29;0,07;0,1
290,514;0,59;0,24;0,21;0,41;0,23;0,19
290,987;0,69;0,16;0,2;0,43;0,23;0,14
291,46;0,69;0,09;0,13;0,35;0,19;0,08
291,933;0,65;0,13;0,17;0,32;0,21;0,09
292,407;0,66;0,18;0,22;0,36;0,27;0,09
292,88;0,72;0,26;0,24;0,42;0,36;0,18
293,353;0,72;0,26;0,22;0,41;0,33;0,25
293,826;0,7;0,21;0,2;0,41;0,22;0,27
294,299;0,77;0,2;0,25;0,45;0,2;0,3
294,772;0,76;0,25;0,36;0,44;0,26;0,34
295,245;0,7;0,18;0,42;0,36;0,19;0,3
295,718;0,64;0,07;0,39;0,21;0,01;0,11
296,191;0,6;0,13;0,43;0,18;-0,02;0,11
296,664;0,68;0,24;0,53;0,33;0,03;0,29
297,137;0,68;0,19;0,56;0,39;-0,03;0,36
297,61;0,7;0,16;0,55;0,41;-0,06;0,39
298,083;0,66;0,19;0,51;0,36;-0,11;0,36
298,556;0,57;0,14;0,48;0,3;-0,23;0,29
299,029;0,6;0,14;0,49;0,32;-0,18;0,24
299,501;0,56;0,21;0,47;0,32;-0,15;0,21
299,974;0,46;0,2;0,4;0,32;-0,2;0,12
300,447;0,42;0,21;0,33;0,36;-0,24;0
300,92;0,43;0,32;0,34;0,46;-0,22;0,08
301,393;0,37;0,33;0,28;0,48;-0,24;0,13
301,865;0,27;0,32;0,2;0,44;-0,28;0,06
302,338;0,31;0,38;0,11;0,4;-0,31;0,01
302,811;0,29;0,45;0,11;0,38;-0,29;0,03
303,283;0,29;0,42;0,16;0,41;-0,28;0,08
303,756;0,3;0,42;0,11;0,39;-0,31;0,1
304,228;0,26;0,37;0,06;0,29;-0,34;0,07
304,701;0,28;0,37;0,07;0,3;-0,27;0,12
305,173;0,34;0,41;0,09;0,33;-0,23;0,23
305,646;0,4;0,42;0,08;0,32;-0,19;0,33
306,118;0,34;0,36;0;0,23;-0,15;0,35
306,591;0,25;0,26;-0,07;0,13;-0,16;0,27
307,063;0,28;0,28;-0,03;0,13;-0,12;0,23
307,536;0,26;0,32;0;0,16;-0,09;0,26
308,008;0,23;0,27;-0,09;0,15;-0,18;0,24
308,48;0,24;0,21;-0,16;0,12;-0,21;0,17
308,953;0,3;0,21;-0,17;0,15;-0,15;0,15
309,425;0,3;0,19;-0,21;0,17;-0,1;0,19
309,897;0,24;0,1;-0,22;0,17;-0,14;0,12
