ID,patch1,patch2,dS,dL,group,treatment,individual,day
509,dark,habit22.3,3.861347049,25.3292844,habituation,dark,22,3
69,natural,habit1.4,2.624965835,11.1798846,habituation,light,1,4
290,light,habit1.4,3.993607176,9.0005905,habituation,light,1,4
510,dark,habit1.4,3.544627721,26.3971122,habituation,light,1,4
70,natural,habit2.4,1.90369395,7.1773524,habituation,dark,2,4
291,light,habit2.4,3.417025019,13.0031227,habituation,dark,2,4
511,dark,habit2.4,2.411407863,22.3945799,habituation,dark,2,4
71,natural,habit3.4,1.296404146,11.1941161,habituation,light,3,4
292,light,habit3.4,1.916792253,8.986359,habituation,light,3,4
512,dark,habit3.4,2.804528159,26.4113436,habituation,light,3,4
72,natural,habit4.4,3.565066938,6.2775749,habituation,light,4,4
293,light,habit4.4,5.0866411,13.9029002,habituation,light,4,4
513,dark,habit4.4,3.982721983,21.4948024,habituation,light,4,4
73,natural,habit5.4,2.75375923,11.2793775,habituation,light,5,4
294,light,habit5.4,4.242856229,8.9010976,habituation,light,5,4
514,dark,habit5.4,3.294332247,26.496605,habituation,light,5,4
74,natural,habit6.4,2.543398408,11.6586334,habituation,light,6,4
295,light,habit6.4,4.00772908,8.5218417,habituation,light,6,4
515,dark,habit6.4,3.24472398,26.875861,habituation,light,6,4
75,natural,habit7.4,1.569214443,9.3499832,habituation,dark,7,4
296,light,habit7.4,2.835635007,10.8304919,habituation,dark,7,4
516,dark,habit7.4,2.786280868,24.5672107,habituation,dark,7,4
76,natural,habit8.4,2.612082613,12.7160472,habituation,natural,8,4
297,light,habit8.4,3.99280802,7.4644279,habituation,natural,8,4
517,dark,habit8.4,3.5240375,27.9332748,habituation,natural,8,4
77,natural,habit9.4,3.066398588,10.6726455,habituation,light,9,4
298,light,habit9.4,4.52451024,9.5078296,habituation,light,9,4
518,dark,habit9.4,3.692459626,25.889873,habituation,light,9,4
78,natural,habit10.4,2.088316642,8.4415869,habituation,natural,10,4
299,light,habit10.4,3.559339549,11.7388882,habituation,natural,10,4
519,dark,habit10.4,2.884948763,23.6588145,habituation,natural,10,4
79,natural,habit11.4,2.084379551,6.8636307,habituation,natural,11,4
300,light,habit11.4,3.487472517,13.3168444,habituation,natural,11,4
520,dark,habit11.4,2.979803618,22.0808583,habituation,natural,11,4
80,natural,habit12.4,3.074339993,12.885841,habituation,light,12,4
301,light,habit12.4,4.558941123,7.2946341,habituation,light,12,4
521,dark,habit12.4,3.63371903,28.1030685,habituation,light,12,4
81,natural,habit13.4,2.209565239,13.2607071,habituation,dark,13,4
302,light,habit13.4,3.707927515,6.919768,habituation,dark,13,4
522,dark,habit13.4,2.90069595,28.4779346,habituation,dark,13,4
82,natural,habit14.4,2.101779852,8.6201559,habituation,dark,14,4
303,light,habit14.4,3.513335505,11.5603192,habituation,dark,14,4
523,dark,habit14.4,2.994565353,23.8373835,habituation,dark,14,4
83,natural,habit15.4,4.872122295,11.2980139,habituation,dark,15,4
304,light,habit15.4,6.38622761,8.8824613,habituation,dark,15,4
524,dark,habit15.4,5.167496666,26.5152414,habituation,dark,15,4
84,natural,habit16.4,2.470703948,10.7560464,habituation,natural,16,4
305,light,habit16.4,3.947874191,9.4244287,habituation,natural,16,4
525,dark,habit16.4,3.169897357,25.9732739,habituation,natural,16,4
85,natural,habit17.4,1.879056253,11.6146193,habituation,light,17,4
306,light,habit17.4,3.39046139,8.5658558,habituation,light,17,4
526,dark,habit17.4,2.503136403,26.8318468,habituation,light,17,4
86,natural,habit18.4,3.596929502,9.674431,habituation,dark,18,4
307,light,habit18.4,5.106347601,10.5060441,habituation,dark,18,4
527,dark,habit18.4,4.110597455,24.8916585,habituation,dark,18,4
87,natural,habit19.4,3.505704933,10.6021355,habituation,dark,19,4
308,light,habit19.4,4.998350456,9.5783396,habituation,dark,19,4
528,dark,habit19.4,4.007143747,25.819363,habituation,dark,19,4
88,natural,habit20.4,3.596265543,12.2260348,habituation,natural,20,4
309,light,habit20.4,5.123588188,7.9544403,habituation,natural,20,4
529,dark,habit20.4,3.980191407,27.4432624,habituation,natural,20,4
89,natural,habit21.4,3.589201668,14.215111,habituation,natural,21,4
310,light,habit21.4,5.017706452,5.9653641,habituation,natural,21,4
530,dark,habit21.4,4.305954095,29.4323385,habituation,natural,21,4
90,natural,habit22.4,2.109939011,15.3026702,habituation,dark,22,4
311,light,habit22.4,3.479236087,4.8778049,habituation,dark,22,4
531,dark,habit22.4,3.077826833,30.5198978,habituation,dark,22,4
91,natural,exp1.7,3.316796153,13.4222715,experiment,light,1,7
312,light,exp1.7,4.77302355,6.7582037,experiment,light,1,7
532,dark,exp1.7,3.977415481,28.639499,experiment,light,1,7
92,natural,exp2.7,1.63626515,5.6802646,experiment,dark,2,7
313,light,exp2.7,2.881379041,14.5002105,experiment,dark,2,7
533,dark,exp2.7,2.824954588,20.8974921,experiment,dark,2,7
93,natural,exp3.7,2.883391239,17.5237935,experiment,light,3,7
314,light,exp3.7,4.200473082,2.6566816,experiment,light,3,7
534,dark,exp3.7,3.829971202,32.741021,experiment,light,3,7
94,natural,exp4.7,3.315721615,13.9470278,experiment,light,4,7
315,light,exp4.7,4.807127747,6.2334473,experiment,light,4,7
535,dark,exp4.7,3.840724122,29.1642554,experiment,light,4,7
95,natural,exp5.7,1.192702365,21.4484631,experiment,light,5,7
316,light,exp5.7,2.143604764,1.267988,experiment,light,5,7
536,dark,exp5.7,2.664047991,36.6656906,experiment,light,5,7
96,natural,exp6.7,1.508750823,16.6733486,experiment,light,6,7
317,light,exp6.7,2.834022621,3.5071265,experiment,light,6,7
