"patch1","patch2","dS","dL"
"light","exp11.11",1.34672764551046,13.3088978
"light","exp12.11",3.31745208008604,7.5750845
"light","exp13.11",1.05493764477157,8.8379659
"light","exp14.11",2.97786569939558,17.4587762
"light","exp15.11",2.99102937876442,13.1781414
"light","exp16.11",2.57865342412858,13.0980928
"light","exp17.11",3.1306016067699,5.0039057
"light","exp18.11",3.8252507809872,13.0158146
"light","exp19.11",0.493283253465554,14.2253568
"light","exp20.11",2.86057347245162,13.2630834
"light","exp21.11",1.5714949808535,8.2782556
"light","exp22.11",4.90845734047769,6.1684888
"light","exp1.14",5.28500099549577,8.043014
"light","exp2.14",0.58731198223297,17.8981279
"light","exp3.14",3.20093904694419,8.4281698
"light","exp4.14",5.49114234731085,8.7594561
"light","exp5.14",6.61901934417607,6.2882941
"light","exp6.14",3.96836256120522,6.6783936
"light","exp7.14",3.44706036935529,18.5717872
"light","exp8.14",6.11154684946352,11.0739208
"light","exp9.14",3.97535187670361,15.0406939
"light","exp10.14",1.83629228993717,12.5307834
"light","exp11.14",2.94378312962558,13.6446283
"light","exp12.14",5.11551299321413,9.6606922
"light","exp13.14",3.62731612582017,17.2702394
"light","exp14.14",2.58102683547777,21.3221614
"light","exp15.14",6.01388895435101,16.0126995
"light","exp16.14",4.86037893547994,12.0922469
"light","exp17.14",6.51456962664571,8.1457817
"light","exp18.14",3.32512914172315,18.5095479
"light","exp19.14",2.95608810008363,18.9758399
"light","exp20.14",4.1815569168236,12.6233989
"light","exp21.14",5.62366044017934,9.0411706
"light","exp22.14",0.406520012206949,9.8281503
"dark","habit1.1",1.87585993503139,24.2194409
"dark","habit2.1",3.41523416433512,18.8439035
"dark","habit3.1",2.28793334578562,28.4828434
"dark","habit4.1",2.29240331456741,17.2297921
"dark","habit5.1",1.60625423257046,21.2419068
"dark","habit6.1",1.60219600063902,21.179606
"dark","habit7.1",2.96045721402575,24.3125697
"dark","habit8.1",1.81623108763404,21.4030477
"dark","habit9.1",1.99712037059986,15.7009826
"dark","habit10.1",2.66804877703983,21.2312146
"dark","habit11.1",1.67569399668366,17.2041637
"dark","habit12.1",1.91427104600977,25.5860718
"dark","habit13.1",1.93828971134786,22.2104877
"dark","habit14.1",1.81232264141461,22.0371848
"dark","habit15.1",1.71908329761461,24.2649174
"dark","habit16.1",1.82737804981415,27.4709865
"dark","habit17.1",1.7515084097895,29.8617417
"dark","habit18.1",2.05476292475627,27.8956917
"dark","habit19.1",1.69476444530754,21.8897149
"dark","habit20.1",2.11831603076824,24.8222915
