"wl","X1.14","X2.14","X3.14","X4.14","X5.14","X6.14","X7.14","X8.14","X9.14","X10.14","X11.14","X12.14","X13.14","X14.14","X15.14","X16.14","X17.14","X18.14","X19.14","X20.14","X21.14","X22.14"
383,2.19077357893075,2.57050758044944,3.57208963442895,2.10506685545767,2.24045825715797,3.74687791596373,1.35796475660278,1.640840849391,1.5689939776564,3.21240451430693,2.33048397802906,2.10898366043266,1.32458643192727,1.02685591094824,1.08099331870677,1.85988823856056,1.92488202200557,1.35215739211793,1.3888320854834,2.01469387612808,2.03190673883255,5.99151452241109
384,2.19288094006368,2.56592607153185,3.57311391469997,2.10310203642455,2.24907509413851,3.74170343378608,1.34679368974485,1.63563856680729,1.56557159623772,3.21296704727892,2.32115259277764,2.11742289281656,1.32263695767002,1.02459085839887,1.08191766746566,1.85417722849541,1.93456964017825,1.35909613784284,1.37930787580702,2.00764522451879,2.02471940487658,5.98792432132106
385,2.19580238192728,2.56175978848129,3.5742257960549,2.10198424967301,2.2582512399713,3.73745734641709,1.33650146083162,1.63118320376953,1.56256584274087,3.21370323317439,2.3127097950919,2.12611572682744,1.32142269033389,1.02297042021884,1.08271549989304,1.84939896826959,1.94468777713511,1.3655635272,1.37047453300276,2.00138309411117,2.01893016613287,5.9848246498366
386,2.19952651540769,2.5580345993738,3.57518909170411,2.10179779062791,2.26790929575511,3.73424135348057,1.32737693491201,1.62759381084914,1.56005343848006,3.21454658986082,2.30537353430395,2.13490885046704,1.32102273945507,1.02201437386185,1.08327289288033,1.84575151817564,1.95515998941955,1.37125618861808,1.36256350387993,1.99614176310622,2.01477457079907,5.9822381574822
387,2.20404195139108,2.55477637228541,3.57576761485796,2.10262695471415,2.27797186258867,3.73215715460035,1.31970897703492,1.62498943861753,1.5581111047695,3.21543063520569,2.29936175974586,2.14364895173707,1.3215162145697,1.02174249678159,1.08347592331897,1.84343293850607,1.96590983357497,1.37587075052574,1.35580623524788,1.99215550970488,2.01248816707285,5.98018749378238
388,2.20933730076359,2.55201097529214,3.57572517872682,2.10455603735658,2.28836154157075,3.73130644940022,1.31378645224929,1.62348913764611,1.5568155629234,3.21628888707648,2.29489242074972,2.15218271863924,1.32298222521398,1.02217456643176,1.08321066810038,1.8426412895534,1.97686086614475,1.37910384135163,1.35043417391594,1.98965861210814,2.01230650315187,5.97869530826162
389,2.21574127070773,2.54995947636852,3.57531058445598,2.10739343968342,2.29925262445591,3.73170846236712,1.30858128474805,1.62304311905853,1.55565690665428,3.21750233556377,2.29159289169378,2.16111178249448,1.32605867382446,1.0240450417466,1.08254386148414,1.84332823482942,1.98844997322924,1.38158903080803,1.34561314117153,1.98776304771131,2.01472970871521,5.97801675357456
390,2.22351036887222,2.54874220568856,3.57498481511894,2.1108899761833,2.31086622727818,3.73326312636456,1.30298566749073,1.62347412725005,1.55416957837429,3.21941943941976,2.28892374507317,2.17105221736677,1.33110269615333,1.02785697181993,1.08165874649648,1.84521371240075,2.00107739605913,1.38415105976559,1.34045188419377,1.98553467832829,2.01984683373584,5.97832807510983
391,2.23252490684256,2.54823392462749,3.57482995681834,2.1150435623218,2.32319518755547,3.73589320358128,1.29716886867606,1.62471001269942,1.55249682244707,3.22192491950431,2.2868527273953,2.18187237537243,1.3377722517102,1.03328301934488,1.08061616317883,1.84814819439214,2.01461172387338,1.38677331339053,1.33509623862956,1.98313860878798,2.02727680685229,5.979533561493
392,2.24266519620429,2.54830939456053,3.5749280956568,2.1198521135645,2.33623234280568,3.73952145620597,1.29130015650282,1.62667862588541,1.55078188323627,3.22490349667728,2.28534758516757,2.19344060862779,1.34572530000467,1.03999584701459,1.07947695157263,1.85198215292838,2.02892154591094,1.38943917684908,1.32969204012577,1.98073994391929,2.03663855670309,5.98153750134965
393,2.25381154854289,2.54884337686291,3.57536131773698,2.12531354537695,2.34997053054672,3.74407064642738,1.28554879916975,1.62930781728678,1.54916800510554,3.22823989179855,2.28437606489741,2.20562526924917,1.35461980054636,1.04766811752218,1.07830195171931,1.85656606013424,2.04387545141077,1.39213203530747,1.3243851243293,1.97850378855109,2.04755101192675,5.98424418330535
394,2.2658442754439,2.54971063290987,3.57621170916152,2.13142577322473,2.36440258829651,3.7494635364342,1.28008406487562,1.63252543738229,1.54779843241852,3.23181882572797,2.28390591309221,2.21829470935289,1.36411371284487,1.05597249356078,1.07715200366032,1.86175038813447,2.05934202961183,1.39483527393193,1.31932132688702,1.97659524751229,2.0596331011618,5.98755789598565
395,2.27864368849282,2.55078592407662,3.57756135603305,2.13818671257341,2.37952135357295,3.75562288841516,1.27507522181917,1.63625933665071,1.54681640953886,3.23552501932541,2.28390487625939,2.23131728105529,1.3738649964098,1.06458163782351,1.07608794743707,1.86738560905386,2.07518986975306,1.39753227788868,1.31464648344583,1.97517942563178,2.07250375304676,5.99138292801613
396,2.29209009927517,2.55194401173841,3.57949234445421,2.14559427888856,2.39531966389396,3.76247146455899,1.27069153819915,1.6404373655708,1.54636518083021,3.23924319345074,2.28434070090635,2.24456133647267,1.38353161075077,1.0731682130035,1.07517062309101,1.87332219501716,2.09128756107342,1.40020643234397,1.3105064296526,1.97442142773845,2.08578189622014,5.99562356802237
397,2.30606381937645,2.55305965727045,3.58208676052765,2.15364638763574,2.41179035677743,3.76993202705439,1.26710228221434,1.64498737462133,1.5465879906562,3.24285806896382,2.28518113354051,2.25789522772136,1.39277151537737,1.08140488179389,1.07446087066356,1.87941061814916,2.10750369281187,1.402841122464,1.30704700115424,1.97448635866121,2.09908645932048,6.00018410462991
398,2.32044516038219,2.55400762204798,3.585426690356,2.16234095428054,2.42892626974129,3.77792733809008,1.26447672206347,1.64983721428105,1.5476280833805,3.24625436672452,2.28639392066927,2.2711873069177,1.40124266979923,1.0889643068878,1.07401953019617,1.88550135057462,2.12370685420737,1.40541973341502,1.30441403359761,1.97553932322893,2.1120363709863,6.00496882646435
