patch1,patch2,dS,dL,group,treatment,individual,day
substrate_light,exp3.10,2.300126525,0.7973418,experiment,light,3,10
substrate_light,exp4.10,3.741537076,1.6332832,experiment,light,4,10
substrate_light,exp5.10,4.066818705,1.7588849,experiment,light,5,10
substrate_light,exp6.10,3.23487006,1.8566427,experiment,light,6,10
substrate_light,exp7.10,2.87432171,4.0872648,experiment,dark,7,10
substrate_light,exp8.10,5.750513296,3.4586946,experiment,natural,8,10
substrate_light,exp9.10,4.570243365,2.0591832,experiment,light,9,10
substrate_light,exp10.10,2.308028167,3.9620785,experiment,natural,10,10
substrate_light,exp11.10,1.832219408,2.6792443,experiment,natural,11,10
substrate_light,exp12.10,3.343420119,1.820554,experiment,light,12,10
substrate_light,exp13.10,2.905276101,4.4750295,experiment,dark,13,10
substrate_light,exp14.10,2.3419912,5.4135886,experiment,dark,14,10
substrate_light,exp15.10,2.444014537,3.052376,experiment,dark,15,10
substrate_light,exp16.10,4.724537917,3.4547089,experiment,natural,16,10
substrate_light,exp17.10,6.268374082,2.2553388,experiment,light,17,10
substrate_light,exp18.10,1.439710597,3.0805498,experiment,dark,18,10
substrate_light,exp19.10,1.786580716,5.389994,experiment,dark,19,10
substrate_light,exp20.10,4.551397796,2.632045,experiment,natural,20,10
substrate_light,exp21.10,4.066457228,2.9315469,experiment,natural,21,10
substrate_light,exp22.10,5.9729808,3.2663639,experiment,dark,22,10
substrate_light,exp1.11,4.950594949,2.764765,experiment,light,1,11
substrate_light,exp2.11,1.782098718,5.3630047,experiment,dark,2,11
substrate_light,exp3.11,1.228987482,0.1946212,experiment,light,3,11
substrate_light,exp4.11,2.487797217,2.1097342,experiment,light,4,11
substrate_light,exp5.11,2.703471624,1.6927263,experiment,light,5,11
substrate_light,exp6.11,4.547042042,2.535466,experiment,light,6,11
substrate_light,exp7.11,2.852419586,5.2753236,experiment,dark,7,11
substrate_light,exp8.11,1.156873629,3.1954838,experiment,natural,8,11
substrate_light,exp9.11,3.718686005,3.2224623,experiment,light,9,11
substrate_light,exp10.11,1.773413865,4.3535239,experiment,natural,10,11
substrate_light,exp11.11,1.455331243,4.1831426,experiment,natural,11,11
substrate_light,exp12.11,3.38065081,2.6851761,experiment,light,12,11
substrate_light,exp13.11,1.114519351,2.8307768,experiment,dark,13,11
substrate_light,exp14.11,3.138325279,5.6859202,experiment,dark,14,11
substrate_light,exp15.11,3.167030411,4.3714732,experiment,dark,15,11
substrate_light,exp16.11,2.634884919,4.2607892,experiment,natural,16,11
substrate_light,exp17.11,3.254159548,1.8902503,experiment,light,17,11
substrate_light,exp18.11,4.007340758,4.4138722,experiment,dark,18,11
substrate_light,exp19.11,0.519144388,4.1336156,experiment,dark,19,11
substrate_light,exp20.11,2.87941188,4.2902873,experiment,natural,20,11
substrate_light,exp21.11,1.672232651,2.8091874,experiment,natural,21,11
substrate_light,exp22.11,5.198358319,2.5320368,experiment,dark,22,11
substrate_dark,habit1.1,2.085808031,6.6815119,habituation,light,1,1
